id	sentence	syllables
1177548941644238851	HE WAS DESPERATE	5
1177543516236500997	A continuing Witch Hunt!	7
1177262335771021312	Another Fake News Story!	7
1177262335771021312	Another Witch Hunt!	5
1177256808072671233	Absolutely not!	5
1177211112992976897	Absolutely not!	5
1177211112992976897	RD Robert Ray, respected	7
1176819645699043328	They get nothing done.	5
1176693927015002113	Thank you totally agree!	7
1176606660279898112	PRESIDENTIAL HARASSMENT!	7
1176605750657003520	A total Witch Hunt!	5
1176605037700759558	Can you believe this?	5
1176230179448008705	Thank you, working hard!	5
1176156564274712576	....know the correct facts.	5
1176156564274712576	Is he on our Countrys side.	7
1176156564274712576	Where does he come from.	5
1176156553692536832	These people are stone cold Crooked.	7
1175848139112308739	The USA Loves India!	7
1175792466592555008	It is a false hoax.	5
1175564363601776640	The press is just outrages.	7
1175527078005002240	Trumps conversation....	5
1175151567265247233	Buy this book great for the kids!	7
1175146517843324928	Thank you, working hard!	5
1174868276805083136	Congratulations to both!	7
1174697450948497408	Presidential Harassment!	7
1174388901806362624	No guts, no sense, no vision!	7
1174297506986909697	Terrence K. Williams,	5
1174279095091286016	But they all know that.	5
1173706388960239616	How many stories are wrong?	7
1173703009609637888	Congratulations !	5
1173677124076613632	Thank you, working hard!	5
1173597715487477760	Obama Netflix?	5
1173591284969332736	Governor John Sununu	7
1173576122811985920	WHAT THESE HORRIBLE	5
1173564171847385089	Really bad for exports.	7
1173564171847385089	Highest Interest Rates...	7
1173552939019001857	Take a look at them.	5
1173394057072205825	Joe DiGenova.	5
1173305965019566085	REPUBLICANS Have....	5
1173297587773947920	#ProtectKavanaugh	7
1173231877181857795	Cant let that happen!	5
1173218440502550528	Cant let that happen!	5
1173216300287635456	Such lies about him.	5
1173210997303193600	All based on NOTHING!	5
1172858577951821825	Who the hell is JoyAnn Reid?	7
1172609171382001665	Historic Milestone indeed!	7
1172280991873978368	Hello Baltimore!	5
1171642393583656961	Keep up the good work!	5
1171622285507289088	Fake News never wins!	5
1171614032782123008	CONGRATULATIONS TO ALL!	7
1171611976100917248	Big Rally last night.	5
1171610628739469312	Big Rally last night.	5
1171439301826994176	Vote today for Dan Bishop.	7
1171403065540390912	Great job by the U.S. Coast Guard!	7
1171178388460978177	This is amazing!	5
1171118506089361409	This Story is False!	5
1170897584510124032	Obama couldnt come close....	7
1170897585336475648	I SIGNED IT INTO LAW,	7
1170548948135796736	Leakin Lyin James Comey!	7
1170469621348098049	....only made it worse!	5
1170437808894427140	A BIG DIFFERENCE.....	5
1169992234382610432	Talks happening, good for all!	7
1169983251160731651	The Economy is great.	7
1169960993922981889	It is a FANTASTIC book.	7
1169948967947395072	Oh well, you cant win them all!	7
1169815874988986369	Its statistical.	5
1169782689257447424	Looking forward to watching	7
1169606328945451009	Really Good Jobs Numbers!	7
1169600037053247488	Bad actress Debra	5
1169600037053247488	If Roseanne Barr....	5
1169578155948072962	Read my FULL FEMA statement.	7
1169578155948072962	What I said was accurate!	7
1169412199611326464	....information does come out.	7
1169412199611326464	Charlie Hurt, Washington Times	7
1169062379134574592	Illegal spying.....	5
1169048221026590725	Hope you wont need it!	5
1169002093476290563	We are sending crews to help!	7
1168898508608421888	Kahn should focus on....	5
1168891437032857600	Kahn should focus on....	5
1168874292626501633	Deal would get MUCH TOUGHER!	7
1168664116095082496	Always good to be prepared!	7
1168663013806792704	Always good to be prepared!	7
1168493190468558848	Trump Economics.	5
1168488487433232384	He never got it!	5
1168326060280307712	Third Circuit, Court of Appeals.	7
1168174613827899393	Already category .	7
1168174613827899393	GOD BLESS EVERYONE!	5
1168147289027821569	Joe DiGenova	5
1168146167215079424	....reports are coming.	5
1168146167215079424	But where is the Supreme Court.	7
1168146167215079424	Jason Chaffetz, Fox	5
1168137799712854016	Redirect the supply chain.	7
1167893379461443585	Jim Comeys ethics.	5
1167867052410802178	We are taking in $Billions.	7
1167786555509002241	then, KEEP AMERICA GREAT!	7
1167783720021123073	Numerous others also!	7
1167582228433580032	Just arrived at Camp David!	7
1167435723823341568	Sounds good, doesnt it?	5
1167435724557361152	They dont have a clue!	5
1167426094032666624	In we had a Coup.	5
1167426094032666624	Comey got a book deal.	7
1167420374482599936	Comey got Lucky!	5
1167037101906497536	ALL APOLOGIZE!	5
1166868481620492296	WRONG, vitally important.	7
1166711517536030720	HOPELESS & CLUELESS!	5
1166685686105329664	You Not like last time.	5
1166494781935095810	Can you believe it?	5
1166494465357438976	Can you believe it?	5
1166382203808440320	Will it ever end?	5
1165918301932916736	I never said this.	5
1165869638779060224	Thank you Steve Hilton!	5
1165865476192292864	.@SteveHiltonx	5
1165865476192292864	PLEASE BE SURE TO WATCH!	5
1165768437353738240	Had my opponent won, CRASH!	7
1165694074994581504	Jesse & Emma, Great News.	7
1165694074994581504	Congratulations!!!!!	5
1165692401320546309	Happy Birthday Vince!	5
1165664682952163328	Really big Corn purchase!	7
1165654684486389760	& are only getting worse!	7
1165651928400838656	Happy Birthday Sean!	5
1165500375870427136	The Fake News knows this	5
1165396410021437442	Progress being made!	5
1165395410787196929	Progress being made!	5
1165067836131336193	Thank you Ivanka.	5
1165065918470414337	Great going Harris!	5
1164885387862519808	Now the Fed can show their stuff!	7
1164745545736474624	Happy birthday James!	5
1164683759196823553	Why America Went All	7
1164683759196823553	In On Donald Trump	5
1164683759196823553	An excellent read.	5
1164520903725723648	Strong Dollar, No Inflation!	7
1164520903725723648	They move like quicksand.	5
1164174364213952512	Quantitative Tightening.	7
1164169890917433346	Engines would run smoother.	7
1164158321265451008	but dont count on him!	5
1164158322058158080	Wake up Federal Reserve.	7
1164138797220671488	.....all Jews, Blacks, Gays, everyone.	7
1163838736213393408	She is an antiSemite.	7
1163810691599470592	Beautiful to watch!	5
1163808294986833925	Two incredible people.	7
1163801365455482882	Congratulations, Great Show!	7
1163478770587721729	Wow, Report Just Out!	5
1163478770587721729	Google should be sued.	5
1163440419423825920	We didnt want him around.	7
1163423230398476288	We didnt want him around.	7
1163063728218263552	But the public is aware!	7
1163063728218263552	#CROOKEDJOURNALISM	7
1162555521855107072	We will win New Hampshire in !	7
1162414717505277952	Jim will never let you down.	7
1162175486560280577	Thank you New Hampshire.	5
1162083867697852416	Biden doesnt have a clue!	7
1162037232368144384	They will be the big winners!	7
1162000480681287683	They are a disgrace!	5
1161977538022989824	....what they were doing.	5
1161774305895694336	Personal meeting?	5
1161767691646115840	..deferral to December.	7
1161719408202584064	Our problem is with the Fed.	7
1161719408202584064	Now too slow to cut....	5
1161719409804808193	CRAZY INVERTED YIELD CURVE!	7
1161719409804808193	the Fed is holding us back.	7
1161687635426983937	He did not do the right thing.	7
1161679474578079745	People want safety!	5
1161381923488436224	is BAD for America!	7
1161377272391229440	It always happens!	5
1161289557079465985	THATS NOT FIT TO PRINT!	5
1161258370478858240	Fake News wont report!	5
1161255687441342464	Totally lost it!	5
1160667748978122755	Big progress is being made.	7
1160306982445887488	show So many lies.	5
1160306982445887488	Said I was on vacation.	7
1159898201018834944	....to inflame and cause chaos.	7
1159298817478414337	Thank you for a job well done!	7
1159265148307046400	They are truly disgusting!	7
1159258872223158273	Keep fighting Joaquin!	5
1159256758100955136	Keep fighting Juaquin!	5
1159189584183353344	They were all amazing!o	7
1159049603209158656	Trump Urges Unity Vs.	7
1159049604635275264	Is that journalism today?	7
1158709475517325313	A beautiful thing to watch!	7
1158407058519207936	China has always....	5
1157757443901972480	God be with you all:	5
1157745635254243329	God be with you all!	5
1157633906025402368	They are paying us	5
1157306445567803393	is unlimited.	5
1157259424794324992	Really bad news!	5
1157119972415438849	THANK YOU OHIO!!	5
1156938785189441536	Our Country is doing GREAT!	7
1156933712761753600	With President Trump, NO WAY!	7
1156777889100173313	We have prosperity &	7
1156777889100173313	success like never before..	7
1156570437188497410	With me, only up!	5
1156175364802142209	Was on all the time.	5
1156175364802142209	Lost all of its juice!	5
1156152107893960705	#MAGA #KAG	7
1156033183697080320	do you have to lose?	5
1156033183697080320	Best unemployment numbers!	7
1155792447429054465	years of all talk, no action!	7
1155787721576779776	Just doing his thing.	5
1155676540631506944	Be careful and safe!	5
1155297355203305476	.@RepCummings your district!	7
1155240345585750016	DEMOCRAT WITCH HUNT!	5
1155230324374343688	#BlacksForTrump	5
1155223906959147008	Would be so easy!	5
1155210027025797121	Nothing he could do!	5
1155076476930338816	How much is stolen?	5
1154883345546928128	Big VICTORY on the Wall.	7
1154701992280907777	And plenty of other things!	7
1154502673514684416	Give A$AP Rocky his FREEDOM.	7
1154502673514684416	We do so much for Sweden	7
1154502673514684416	#FreeRocky	5
1154501344323080192	Treat Americans fairly!	7
1154501344323080192	#FreeRocky	5
1154375992938549248	I am totally with you!	7
1154370553911873537	Mark Levin on now!	5
1154370118215974912	Mark Levin will be on now!	7
1154362522830614534	Shouldnt this be at %?	5
1154362522830614534	Country doing great!	5
1154217574714019841	Appreciate it , thank you!	7
1154214345259257856	.@JaySekulow	5
1154214345259257856	on moments ago...	5
1154190198990880769	Thank you McCarthy!	5
1154153881829597189	The Democrats had nothing...	7
1154145507016683526	Impeachments over!	5
1154112475002036234	TRUTH IS A FORCE OF NATURE!	7
1153854621783400448	Whats this all about?	5
1153821772388524035	The young leaders here today	7
1153810108654034950	Never heard of this before.	7
1153667150458081282	Building lots of Wall!	5
1153494667574632449	There is no there there.	5
1153490947788955648	There is no there there.	5
1153290669424807936	Iran is a total mess!	7
1153282896549036032	It has never been this bad.	7
1153274794579767296	Dont miss it again!	5
1153126579641495552	This is a GREAT thing!	5
1152910967220690945	Presidential Harassment!	7
1152532958487748609	They love the USA!	5
1151978502842986496	Congratulations !	5
1151978502842986496	#CheerUSA	5
1151526698392965123	GOD BLESS THE USA	5
1151451067437191168	; I just think theyre left wing cranks.	7
1151327084016480257	The Republican vote was .	7
1151147417028497414	Kevin McCarthy ,	5
1150879404593205249	Not good for the Democrats!	7
1150779375358480390	Here we go with the Fake Polls.	7
1150779375358480390	Suppression Polls so early?	7
1150779375358480390	They will never learn!	5
1150381395078000643	Then come back and show us how....	7
1149665175722532865	Wow, RATINGS HAVE CRASHED.	5
1149665175722532865	LOST ALL CREDIBILITY!	7
1149663362428522497	Great job by Rush Limbaugh on !	7
1149658628552445954	Wins Big, No Contest!	5
1149318492711264257	Hopefully they will start soon!	7
1149282693022146561	Robert Johnson, B.E.T.	5
1149282146634403841	....months, the lowest since .	5
1149100628062474241	#USMCAnow	5
1148953550938152960	The Dems Witch Hunt continues!	7
1148769874379980801	Could this be a first?	5
1148573632869875712	No longer acceptable!	7
1148567121212989440	I will be fighting with you!	7
1148563040536866821	People are fed up!	5
1148298497189392384	who I was most impressed with!	7
1148016423735836674	.....Comcast (NBC/MSNBC)	5
1148016423735836674	; Steve tell them to do.	5
1146990286641487874	Tammy is a great person!	7
1146766931573301248	A total loser!	5
1146625696531456000	Congratulations USA!	7
1146514922286780416	Thank you Mexico!	5
1146501821579583488	So easy to do!	5
1146421386820427776	Congratulations!	5
1146245459268263938	Going on for a long time.	7
1146068975350009856	No more Do Overs.	5
1146068975350009856	The Great Hoax is dead!	5
1145707939761704962	Good things can happen for all!	7
1145535526394650624	Our Country is doing great!	7
1145534361099546624	Stock had the Best First Half since .	7
1145531966076477440	Much was accomplished!	5
1145098417405923330	President Moon and	5
1145082681761435654	President Moon and	5
1144298734311878657	Only in America!	7
1144030595422420993	.@ByronYork:	5
1143999067300610048	Does it ever end?	5
1143978235878789120	It can be done instantly!	7
1143892329582997505	The USA is doing GREAT!	7
1143888638004125696	The USA is doing GREAT!	7
1143831318951866368	Wow, did great in the ratings.	7
1143831318951866368	and are doing great!	5
1143709133234954241	Presidential Harassment!	7
1142506687020130306	If not, Deportations start!	7
1142476293331738624	Stock Market BEST June in years!	7
1142474158678466560	Thank you Jessica!	5
1142044452258766849	Mollie Hemingway.	5
1142044450413301760	Is what they have done legal?...	7
1141833755033767943	S&P closes at Record High!	7
1141710851617034240	Michael Steel (do you believe?)	7
1141706991464849408	S&P opens at Record High!	7
1141432478491717632	Rigged House Committee	5
1141432472602927108	so they want a Do Over.	7
1141432472602927108	Will it ever end?	5
1141362325619916801	But Im winning anyway!	7
1141167008739971072	Dont ever forget	5
1140844412127326208	Never admitted before.	7
1140696990843572225	Keep up the great work,	5
1140222456466198528	LehighValleyLive	5
1140059246781968385	It is called Earned Media.	7
1140053914592657410	It is called Earned Media.	7
1139967059503329282	Thank you Steve & family!	7
1139645936945324032	Cryin Chuck will never stop.	7
1139641741047472128	Cryin Chuck will never stop.	7
1139611973644107776	This is a fantastic plan!	7
1139606178680463367	Working hard, thank you!	5
1139579231468425216	HAPPY BIRTHDAY to our GREAT .	7
1139579231468425216	#ArmyBday	5
1139485397858291713	Proud of Natalie!	5
1139161442437992448	We talked about Everything!	7
1139161442437992448	Should I immediately....	7
1139161443734106112	How ridiculous!	5
1139155447242530816	How ridiculous!	5
1139155440959463425	We talked about Everything!	7
1139155440959463425	Should I immediately.....	7
1139123051788980224	do whatever you...	5
1139123053219262466	Attorney David Bruno.	7
1139123053219262466	many other things.	5
1139000754021326848	Thank you very much!	5
1138996284046663680	A great Leader and Chairman!	7
1138789726771732480	Had it in , but this is worse.....	7
1138789728189341696	WE WILL WIN AGAIN!	5
1138782963733291009	WE WILL WIN AGAIN!	5
1138782960444956673	Had it in , but this is worse.........	7
1138664390054600705	Presidential Harassment!	7
1138444530020245505	Good day in the Stock Market.	7
1138427450927529984	They dont have a clue!	5
1138417723858456576	They dont have a clue!	5
1138413497858101249	PRESIDENTIAL HARASSMENT!	7
1138406809121755138	Headline, New York Post.	5
1137856192343105537	Corrupt Media!	5
1137697507218264064	The Failing , &amp	5
1137052508231069696	Heading back to D.C.	5
1137007514166255621	HAPPY BIRTHDAY to our great	7
1136601231906893824	DDaythAnniversary	7
1136402984923852801	The higher the Tariffs go,	7
1136149478862254080	You cant win without people!	7
1136146104838434821	#USStateVisit	7
1135971860762439680	Wall is under construction!	7
1135822941588008960	#USStateVisit	7
1135609956563083266	They can do it if they want!	7
1135602452059906050	Great love all around.	5
1135602452059906050	Already starting to talk!	7
1135499002626154496	Why wouldnt they act.	5
1135161682580389888	They are frozen stiff.	5
1135161682580389888	Get back to work, much to do!	7
1135002792312156161	The Witch Hunt is dead.	5
1134921830773469184	We will soon find out!	5
1134448050464800769	Would solve the problem	5
1134276359260389377	I will be watching	5
1134134880860852225	They want good ratings!	5
1134066372584062976	Presidential Harassment!	7
1134061455702142976	Presidential Harassment!	7
1133529099530571777	Big progress on MANY fronts.	7
1133352140431216640	GOD BLESS THE USA	5
1133170167641460736	Cant wait to see you all soon!	7
1133031322912473093	A lot more to do!	5
1132994153317588992	#MemorialDay	7
1132627475333304321	How about the Dems also?	7
1132623971139112960	POTUSinJapan	5
1132614380103843840	Congratulations!	5
1132444714047664129	Japan loves the game.	5
1132374746912493569	Thank you John, so nice!	5
1131537528736100352	Look how the U.S. is doing!	7
1131386418410999808	Can be easily proven.	7
1131243922188054529	I know you truly mean it!	7
1131215957601476608	YET MR. MUELLER	5
1131196627644047360	They ought to start governing.	7
1131196627644047360	You know, for a change.	5
1131195685565542402	Bad for the Country!	5
1131158413373779968	we must build where most needed....	7
1131138596109463553	PRESIDENTIAL HARASSMENT!	7
1131022077669072898	Great news for Republicans:	7
1131002394966462464	Wow, he admits he was wrong!	7
1130939513268789251	#FlyFightWin	5
1130857064928952320	Very important.	5
1130635742810480641	Thank you, I love you!	5
1130436890891620352	Only the Dems get redos!	7
1130433208250769410	Could it be Russia?	5
1130296183795126277	A great win for Brooks.	5
1130205328522522627	False reporting yesterday.	7
1130198627081699328	Congratulations!	5
1130093130857013248	Our Country is doing GREAT!	7
1129856328363577344	Word is out that book is GREAT!	7
1128313842059087872	On sale today, make it big!	7
1128263443788775425	On sale today, make it big!	7
1128251530442940417	Will be taking in.....	5
1128076346184404994	I met Marine Sgt.	5
1127965567359574016	Also, the Tariffs can be.....	7
1127965568747933696	(the best idea).	5
1127965568747933696	Thats Zero Tariffs.	5
1127891815628144640	Some people just dont get it!	7
1127886307118678016	Also, the Tariffs can be.....	7
1127886307995336705	(the best idea).	5
1127886307995336705	Thats Zero Tariffs.	5
1127688823264169984	They are a sad JOKE!	5
1127522225224146949	The Democrats have nothing.	7
1127342552745762816	Never a big fan!	5
1127210559059972099	Its very simple!	5
1126816259851673601	Just sit back and watch!	5
1126207770783621121	were getting it done!	5
1126078422797602816	Much was non monetary.	7
1126066405890318336	McConnell Backs Trump:	5
1125450630196232192	Congratulations !	5
1125397761204072449	Very good conversation!	7
1124733856526077953	#ThankAFirefighter	7
1124670603179565056	Deal will happen!	5
1124645001533771776	So great to watch this!	5
1124491964794249216	George Papadopoulos to	7
1124446809802276865	He doesnt get it!	5
1124288000396021760	Pulitzer Prize anyone?	7
1124116620979445761	Thank you, working hard!	5
1124064507930849291	Tariffs are working.	5
1123033559802023936	Also, stop the MARCH to U.S.	7
1122876984646934528	Some things never change!	5
1122321330282561536	Thank you Green Bay, Wisconsin!	7
1122319181221892096	#MAGA/JRyhOXHEE	7
1122262750531477504	He has now left for Japan	7
1121738863486095360	No money was paid.	5
1121476321882902529	Nobody deserves it more.	7
1121138875638792192	.@SenMikeLee	5
1121121705970286592	#RxSummit	5
1121120816983363584	#RxSummit	5
1121044792945926144	DEMS IN CONGRESS MUST ACT NOW!	7
1121023509029892096	I DID NOTHING WRONG.	5
1121021160827887616	Better not happen again!	7
1120751418414108680	Big crowd expected!	5
1120655199130017792	The Economy is GREAT!	7
1120650189537202176	Different namesover M.....	7
1120644639311134720	So unfair to U.S.	5
1120440967247663111	PRESIDENTIAL HARASSMENT!	7
1120402937782636547	You cant be more clear than that!	7
1120360773807693826	I will respect his wishes.	7
1120331020266549249	Congratulations!	5
1119928890162601984	Do you believe this?	5
1119746080684507136	Good night of television!	7
1119575361522737152	Pretty Amazing!	5
1119207303700471809	Because I never....	5
1118848431932493824	PRESIDENTIAL HARASSMENT!	7
1118324360383746050	May God Rest Their Soul!	5
1118282780633382912	Thanks to for getting it done.	7
1118212755918589952	Big crowd expected!	5
1118155023849017345	Very strange, and now we have ?	7
1117910111236681728	God bless the people of France!	7
1117813230678814722	I finally agree with !	7
1117601418855243778	.@SteveHiltonx	5
1117601418855243778	He needs populist allies.	7
1117486994018451458	Very exciting, tune in!	7
